reviewer,time,context,ranking,Chi nhánh,Sentiment
Huyền Nguyễn,3 tháng trước,"Mình đã đặt vé trước qua app, khi đến lấy vé lại không được hướng dẫn tìm phòng chiếu ở đâu (do rạp có 2 tầng, mình tìm ở tầng 1 không thấy, hỏi nhân viên mới biết có tầng 2). Giờ coi đến nửa phim rồi vẫn không thấy ai tắt đèn. Mình ra tìm nhân viên lầu 2 thì không thấy ai. Coi phim Conan mà chẳng lẻ giờ chạy xuống tầng 1 nhờ tắt đèn?!",1,CGV Hoàng Văn Thụ,0
Đạt Nguyễn Thành,9 tháng trước,"Rạp quá nóng xem phim mấy lần quá nóng , góp ý mà không khắc phục, nhiều người nói rồi vẫn vậy, góp ý lần này nữa không được nữa công khai trên mọi nền tảng nha",1,CGV Satra Củ Chi,0
Khánh Lâm Nguyễn,một năm trước,"Mua vé không hỏi trẻ em hay người lớn, cứ thế tính tiền người lớn…thấy bill.không đồng ý thì nói không trả vé được vì hệ thống tính..hệ thống lớn mà làm việc vậy",1,CGV Pandora City,0
Lý Thanh Phong,4 tháng trước,"Nhân viên vô duyên, thiếu thân thiện và đứng cho có, không hỗ trợ khách hàng bất kỳ vấn đề gì ngoại trừ việc bán hàng. Nếu bán xong là thôi, không thèm để tâm. …",1,CGV Sư Vạn Hạnh,0
Anh Diệp Phúc,10 tháng trước,Mình đi xem phim suất 9h. Nhưng 9h05 vẫn chưa mở quầy vé để bán. Hỉ thì bạn bán bắp trả lời quản lý chưa đến. Quá tệ với cách làm việc ở đây. Sẽ không đến lần 2.,1,CGV Vincom Thủ Đức,0
LNT Designer,5 năm trước,"Rạp nhỏ, dùng mã ưu đãi galaxy thì nhân viên check xong báo thành công kêu hết mã. Bán đồ đi kèm mà cứ ko nói không rằng tự bán cho khách đội tiền lên kinh khủng.",1,CGV Vincom Thủ Đức,0
Trần Nguyên Gia Huy,3 tháng trước,"kêu 2 ly nước bình thường, bán khống kèm combo rồi lấy giá 199, trong khi 2 ly bình thường chỉ có 78k?, làm ăn kiểu này chúc rạp làm ăn vắng khách nha, đồ lừa lọc",1,CGV Giga Mall Thủ Đức,0
Hai Mervyn,một năm trước,"CGV vui lòng bảo trì rạp số 7 IMAX ở Vivo. Hiện màn hình có 1 vệt dơ rất to. Coi phim khó chịu quá.
Vệt dơ này đã được phản ánh rất nhiều lần nhưng không ai xử lý",1,CGV Vivo City,0
Lâm Đoàn Thanh,2 tháng trước,Nhân viên tư vấn không rõ ràng cho khách. Ép khách phải mua combo và nói sẽ giảm tiền 1 vé. Nhưng khi thanh toán xong thì lại nói là giảm 1 vé cho lần coi kế tiếp.,1,CGV Pandora City,0
Tường Đặng,3 tháng trước,"Vào 4 người 2 phần bắp 4 ly nước mà gần 700
Bắp lạnh ngắt mền xèo yểu rồi lại đưa cho khách bỏ cả 2 phần
Nước thì toàn là đá uống trà sữa về tối đau bụng khó chịu …",1,CGV AEON Bình Tân,0
Hà Hà,4 tháng trước,"Mua bắp và nước nhưng nhân viên ấn bill bắp nước + snack và không hề hỏi ý kiến gì với khách nhé, chỉ hỏi uống nước gì và ăn bắp vị gì không đá động gì tới snack cả.",1,CGV Giga Mall Thủ Đức,0
Khoa Nguyễn Tuấn,9 tháng trước,"Vì sao Mùng 1 Vincom đóng cửa, block hết các lối ra vào, CGV vẫn hoạt động thì nên có giải pháp hỗ trợ khách hàng vô rạp. Đi hết 6 cái cửa mất hơn 15p mới vô đc rạp.",1,CGV Vincom Center Landmark,0
Vo Hoang Phuong Lam,2 năm trước,NV nữ bán vé cổng ngày CN 27.3.22 quá tệ. Khách hỏi giá có thẻ Gold sao chỉ rẻ hơn có 5k sv ko có thẻ mà ko trả lời đc chỉ nói là hệ thống tính vậy thì e biết vậy. …,1,CGV Vincom Thủ Đức,0
Thuỵ Băng,một năm trước,"Rạp chiếu 20p r mà ko bật tiếng, ko tắt đèn, khách complain thì ko chiếu lại đc, chỉ refill bâp nc chứ cũng ko hoàn tiền, nv xử lý cực kỳ chậm và thiếu chuyên nghiệp",1,CGV Vincom Đồng Khởi,0
Thanh Phong,7 năm trước,"Ko hiểu sao khách thì đông mà ko dám xếp nhiều ghế trong khi còn rộng thên than, vào xem buổi trưa vs tối toàn thấy khách đứng chờ ko. Ko hiểu sao nhìn vậy mà coi đc.",1,CGV Vincom Đồng Khởi,0
HẢI NGUYỄN HOÀNG,một năm trước,"Mình bảo mua bắp nước mà nhân viên tự động bán thành combo the hunger games, trong khi mình xem phim của Taylor Swift. Làm ăn lừa đảo. Không bao giờ đi chỗ này lần 2.",1,CGV Vincom Thủ Đức,0
Linh Ngô Nhật,3 tháng trước,"Rạp screenX coi đã nhé, tiếc là mình coi được có mấy phút à vì máy chiếu hư :)

Hôm mình coi máy bị hư nhưng chiếu được 1 nửa nhân viên mới thông báo, mình đã …",1,CGV Hùng Vương Plaza,0
Jurin Nguyễn,6 tháng trước,"CẢM GIÁC NHƯ BỊ LỪA 😡
Mình mua 3 vé xem phim kèm bắp nước. Nhân viên báo combo 200k và kêu chọn cái ly linh vật gì gì đó. Mình không thích ly đó và cú lừa bắt đầu : …",1,CGV Vincom Đồng Khởi,0
Nhat Diem Phan,2 năm trước,"Nhân viên phục vụ tệ. Bắp thì khiến người dùng bị ngộ độc thực phẩm.
Hôm nay ngày 04/05/2022 tôi có mua 2 vé xem Dr Strange, và phần bắp caramel + nước suối . …",1,CGV Vivo City,0
Hoa Luong,một năm trước,Mua bắp nước nhân viên không đưa bill cũng không hỏi khách thẻ thành viên để tích điểm. Thanh toán xong mới nói lỡ bấm qua rồi nên không tích điểm được nữa. Tệ,1,CGV Pandora City,0
