reviewer,time,context,ranking,Chi nhánh,Sentiment,pre_context,tokens
Huyền Nguyễn,3 tháng trước,"Mình đã đặt vé trước qua app, khi đến lấy vé lại không được hướng dẫn tìm phòng chiếu ở đâu (do rạp có 2 tầng, mình tìm ở tầng 1 không thấy, hỏi nhân viên mới biết có tầng 2). Giờ coi đến nửa phim rồi vẫn không thấy ai tắt đèn. Mình ra tìm nhân viên lầu 2 thì không thấy ai. Coi phim Conan mà chẳng lẻ giờ chạy xuống tầng 1 nhờ tắt đèn?!",1,CGV Hoàng Văn Thụ,0,vé app vé hướng phòng chiếu rạp 2 tầng tầng 1 nhân viên tầng 2 coi nửa phim tắt đèn nhân viên lầu 2 coi phim conan chẳng lẻ chạy tầng 1 tắt đèn,"['vé', 'app', 'vé', 'hướng', 'phòng', 'chiếu', 'rạp', '2', 'tầng', 'tầng', '1', 'nhân_viên', 'tầng', '2', 'coi', 'nửa', 'phim', 'tắt', 'đèn', 'nhân_viên', 'lầu', '2', 'coi', 'phim', 'conan', 'chẳng', 'lẻ', 'chạy', 'tầng', '1', 'tắt_đèn']"
Đạt Nguyễn Thành,9 tháng trước,"Rạp quá nóng xem phim mấy lần quá nóng , góp ý mà không khắc phục, nhiều người nói rồi vẫn vậy, góp ý lần này nữa không được nữa công khai trên mọi nền tảng nha",1,CGV Satra Củ Chi,0,rạp nóng phim mấy nóng góp khắc phục góp công khai tảng nha,"['rạp', 'nóng', 'phim', 'mấy', 'nóng', 'góp', 'khắc_phục', 'góp', 'công_khai', 'tảng', 'nha']"
Khánh Lâm Nguyễn,một năm trước,"Mua vé không hỏi trẻ em hay người lớn, cứ thế tính tiền người lớn…thấy bill.không đồng ý thì nói không trả vé được vì hệ thống tính..hệ thống lớn mà làm việc vậy",1,CGV Pandora City,0,mua vé trẻ tiền bill đồng vé hệ thống hệ thống,"['mua', 'vé', 'trẻ', 'tiền', 'bill', 'đồng', 'vé', 'hệ_thống', 'hệ_thống']"
Lý Thanh Phong,4 tháng trước,"Nhân viên vô duyên, thiếu thân thiện và đứng cho có, không hỗ trợ khách hàng bất kỳ vấn đề gì ngoại trừ việc bán hàng. Nếu bán xong là thôi, không thèm để tâm. …",1,CGV Sư Vạn Hạnh,0,nhân viên vô duyên thân thiện đứng hỗ trợ hàng bất kỳ vấn đề ngoại trừ hàng xong thèm tâm,"['nhân_viên', 'vô_duyên', 'thân_thiện', 'đứng', 'hỗ_trợ', 'hàng', 'bất_kỳ', 'vấn_đề', 'ngoại_trừ', 'hàng', 'xong', 'thèm', 'tâm']"
Anh Diệp Phúc,10 tháng trước,Mình đi xem phim suất 9h. Nhưng 9h05 vẫn chưa mở quầy vé để bán. Hỉ thì bạn bán bắp trả lời quản lý chưa đến. Quá tệ với cách làm việc ở đây. Sẽ không đến lần 2.,1,CGV Vincom Thủ Đức,0,đi phim suất 9h 9h05 quầy vé hỉ bắp quản lý tệ 2,"['đi', 'phim', 'suất', '9h', '9h05', 'quầy', 'vé', 'hỉ', 'bắp', 'quản_lý', 'tệ', '2']"
LNT Designer,5 năm trước,"Rạp nhỏ, dùng mã ưu đãi galaxy thì nhân viên check xong báo thành công kêu hết mã. Bán đồ đi kèm mà cứ ko nói không rằng tự bán cho khách đội tiền lên kinh khủng.",1,CGV Vincom Thủ Đức,0,rạp mã ưu đãi galaxy nhân viên check xong báo thành công kêu mã đồ đi kèm ko đội tiền kinh khủng,"['rạp', 'mã', 'ưu_đãi', 'galaxy', 'nhân_viên', 'check', 'xong', 'báo', 'thành_công', 'kêu', 'mã', 'đồ', 'đi', 'kèm', 'ko', 'đội', 'tiền', 'kinh_khủng']"
Trần Nguyên Gia Huy,3 tháng trước,"kêu 2 ly nước bình thường, bán khống kèm combo rồi lấy giá 199, trong khi 2 ly bình thường chỉ có 78k?, làm ăn kiểu này chúc rạp làm ăn vắng khách nha, đồ lừa lọc",1,CGV Giga Mall Thủ Đức,0,kêu 2 ly bình khống kèm combo giá 199 2 ly bình 78k kiểu chúc rạp vắng nha đồ lừa lọc,"['kêu', '2', 'ly', 'bình', 'khống', 'kèm', 'combo', 'giá', '199', '2', 'ly', 'bình', '78k', 'kiểu', 'chúc', 'rạp', 'vắng', 'nha_đồ', 'lừa_lọc']"
Hai Mervyn,một năm trước,"CGV vui lòng bảo trì rạp số 7 IMAX ở Vivo. Hiện màn hình có 1 vệt dơ rất to. Coi phim khó chịu quá.
Vệt dơ này đã được phản ánh rất nhiều lần nhưng không ai xử lý",1,CGV Vivo City,0,cgv vui bảo trì rạp 7 imax vivo hiện màn hình 1 vệt dơ to coi phim vệt dơ phản ánh xử lý,"['cgv', 'vui', 'bảo_trì', 'rạp', '7', 'imax', 'vivo', 'hiện', 'màn_hình', '1', 'vệt', 'dơ', 'to', 'coi', 'phim', 'vệt', 'dơ', 'phản_ánh', 'xử_lý']"
Lâm Đoàn Thanh,2 tháng trước,Nhân viên tư vấn không rõ ràng cho khách. Ép khách phải mua combo và nói sẽ giảm tiền 1 vé. Nhưng khi thanh toán xong thì lại nói là giảm 1 vé cho lần coi kế tiếp.,1,CGV Pandora City,0,nhân viên tư vấn ràng ép mua combo tiền 1 vé toán xong 1 vé coi kế tiếp,"['nhân_viên', 'tư_vấn', 'ràng', 'ép', 'mua', 'combo', 'tiền', '1', 'vé', 'toán', 'xong', '1', 'vé', 'coi', 'kế_tiếp']"
Tường Đặng,3 tháng trước,"Vào 4 người 2 phần bắp 4 ly nước mà gần 700
Bắp lạnh ngắt mền xèo yểu rồi lại đưa cho khách bỏ cả 2 phần
Nước thì toàn là đá uống trà sữa về tối đau bụng khó chịu …",1,CGV AEON Bình Tân,0,4 2 bắp 4 ly 700 bắp lạnh ngắt mền xèo yểu 2 toàn đá uống trà sữa tối đau bụng,"['4', '2', 'bắp', '4', 'ly', '700', 'bắp', 'lạnh_ngắt', 'mền', 'xèo', 'yểu', '2', 'toàn', 'đá', 'uống', 'trà', 'sữa', 'tối', 'đau', 'bụng']"
